;;x;y;fx;fy;;;;;
;;134;-130;0;-76;;;;;
;;134;-130;0;-76;;;;;
;;134;-130;0;-47;;;;;
;;134;-130;0;-47;;;;;
;;134;-130;0;-47;;;;;
;;134;-130;0;-47;;;;;
;;134;-130;-28;-47;;;;;
;;134;-130;-28;0;;;;;
;;134;-130;-28;0;;;;;
;;134;-130;-28;0;;;;;
;;134;-130;-28;0;;;;;
;;134;-130;-65;0;;;;;
;;134;-130;-65;0;;;;;
;;134;-130;-65;0;;;;;
;;134;-130;-65;0;;;;;
;;134;-130;-65;0;;;;;
;;134;-130;-104;0;;;;;
;;134;-130;-104;0;;;;;
;;134;-130;-104;0;;;;;
;;134;-130;-104;0;;;;;
;;134;-130;-145;0;;;;;
;;132;-130;-145;0;;;;;
;;130;-130;-145;0;;;;;
;;128;-130;-145;0;;;;;
;;126;-130;-145;102;;;;;
;;121;-130;-181;102;;;;;
;;116;-130;-181;102;;;;;
;;110;-129;-181;421;;;;;
;;108;-125;-181;421;;;;;
;;105;-120;-94;421;;;;;
;;105;-117;-94;421;;;;;
;;105;-109;-94;421;;;;;
;;105;-106;-94;342;;;;;
;;105;-102;-94;342;;;;;
;;105;-99;-179;342;;;;;
;;104;-94;-179;342;;;;;
;;99;-85;-179;342;;;;;
;;97;-81;-179;342;;;;;
;;94;-80;-179;0;;;;;
;;91;-80;-179;0;;;;;
;;84;-80;-334;0;;;;;
;;80;-80;-334;0;;;;;
;;76;-80;-334;0;;;;;
;;72;-80;-334;107;;;;;
;;64;-80;-334;107;;;;;
;;57;-80;-320;107;;;;;
;;53;-80;-320;107;;;;;
;;44;-72;-320;357;;;;;
;;39;-68;-320;357;;;;;
;;35;-64;-263;357;;;;;
;;32;-60;-263;357;;;;;
;;24;-53;-263;258;;;;;
;;20;-48;-263;258;;;;;
;;15;-44;-263;258;;;;;
;;11;-39;-266;258;;;;;
;;6;-35;-266;258;;;;;
;;-2;-26;-266;148;;;;;
;;-7;-24;-266;148;;;;;
;;-11;-23;-266;148;;;;;
;;-21;-19;-258;148;;;;;
;;-26;-17;-258;148;;;;;
;;-30;-15;-258;351;;;;;
;;-37;-8;-258;351;;;;;
;;-40;-4;-203;351;;;;;
;;-44;-1;-203;351;;;;;
;;-47;2;-203;351;;;;;
;;-50;5;-203;401;;;;;
;;-57;12;-203;401;;;;;
;;-63;20;-153;401;;;;;
;;-65;24;-153;401;;;;;
;;-70;33;-153;433;;;;;
;;-74;42;-153;433;;;;;
